Busk'n Harp	Cyrano	data/busknharp.abc	Cyrano
Lutility	Cyrano	data/lutility.abc	Cyrano
Mellow Harp	Cyrano	data/mellow.abc	Cyrano
9 Crimes	Damien Rice	data/dam9cr.abc	Cervantes
Bad Day	Daniel Powter	data/danbad.abc	Pocco
It's Not Over	Daughtry	data/dauits.abc	Pocco
Ashes to Ashes	David Bowe	data/davash.abc	Prosco
Space Oddity	David Bowe	data/davspa.abc	Robaidh
Hang On To Yourself	David Bowie 	data/davhan.abc	Mellianna
Hysteria	Def Leppard	data/defhys.abc	Ratissia
Root	Deftones	data/defroo.abc	Ducksey
Whip It	Devo	data/devwhi.abc	Prosco
Tristram	Diablo	data/diablo.abc	Ducksey
White Flag	Dido	data/didwhi.abc	Thorsangori
Run Around Sue	Dion	data/diorun.abc	Inkling
Romeo and Juliet	Dire Straits	data/dirrom.abc	Cranberry
Walk of Life	Dire Straits	data/dirwal.abc	Ducksey
Indestructible	Disturbed	data/disind.abc	Illyrean
Goodbye Earl	Dixie Chicks	data/dixgoo.abc	Cranberry/Torney
Bellissima	DJ Quicksilver	data/djqbel.abc	Ratissia
Bye Bye Miss American Pie	Don McLean	data/donbye.abc	Cervantes
Donkey Kong Hammer	Donkey Kong	data/donham.abc	Nightwind
Level 1	Donkey Kong	data/donlev1.abc	Nightwind
Level 3	Donkey Kong	data/donlev3.abc	Nightwind
Light my Fire	Doors, The	data/doolig.abc	Ducksey
Riders on the Storm	Doors, The	data/doorid.abc	Dalthyn
Black Fire	Dragonforce	data/dragon.abc	Cervantes
Black Winter Night	Dragonforce	data/drabla.abc	X-command
My Spirit Will Go On	Dragonforce	data/dramysp.abc	Cervantes
My Spirit Will Go On	Dragonforce	data/dramys.abc	Wraithsong
Through the Fire and Flames	Dragonforce	data/flames.abc	Cervantes
The Dukes of Hazzard Theme	Dukes of Hazzard, The	data/dukes.abc	Ducksey
Desperado	Eagles, The	data/eagdes.abc	Bungee
Electric Avenue	Eddie Grant	data/eddele.abc	Krovax
2 Tickets to Paradise	Eddie Money	data/edd2ti.abc	Genwen
Livin' Thing	Electric Light Orchestra	data/eleliv.abc	Ducksey
Wait for Your	Eliott Yamin	data/eliwai.abc	Pocco
Don't Let the Sun Go Down	Elton John	data/eltdon.abc	Thorsangori
Last Song	Elton John	data/eltlas.abc	Cyrano
Levon	Elton John	data/eltlev.abc	Bungee
Sorry Seems To Be The Hardest Word	Elton John	data/eltsor.abc	Cyrano
Tiny Dancer	Elton John	data/elttin.abc	Mellianna
The Silk Dilemma	Elvenking	data/elvthe.abc	Thelodin
All Shook Up	Elvis Presley	data/elvall.abc	Krovax
Blue Moon of Kentucky	Elvis Presley	data/elvblu.abc	Keptwise
Business	Eminem	data/emibus.abc	Snosh
Stan	Eminem w/ Dido	data/emista.abc	Ratissia
Return to Innocence	Enigma	data/eniret.abc	Ealdarwyn
Aldebaran	Enya	data/enyald.abc	Makalaure
Caribbean Blue	Enya	data/enycar.abc	Thorsangori
China Roses	Enya	data/enychi.abc	Thorsangori
From Where I Am	Enya	data/enyfro.abc	Cyrano
Hope Has A Place	Enya	data/enyhope.abc	Keptwise
Only Time	Enya	data/enyonl.abc	Thorsangori
Orinoco Flow	Enya	data/enyori.abc	Thorsangori
Cocaine	Eric Clapton	data/ericoc.abc	Cervantes
Layla	Eric Clapton	data/erilay.abc	Cervantes
Tears in Heaven	Eric Clapton	data/eritea.abc	Cervantes
Tears in Heaven	Eric Clapton	data/eritear.abc	Bungee
Cliffs of Dover	Eric Johnson	data/ericli.abc	Wraithsong
Lord Lovat's Lament	Erik Crisholm	data/lordlov.abc	Tiamo/Skjald
Carrie	Europe	data/eurcar.abc	Cyrano
Final Countdown	Europe	data/eurfin.abc	Quetzal
Hello	Evanescence	data/evahel.abc	Ratissia
Lithium	Evanescence	data/evalit.abc	Ratissia
My Immortal	Evanescence	data/evamyi.abc	Cyrano
What it's Like	Everlast	data/evewha.abc	Krovax
Wake up Little Suzie	Everly Brothers, The	data/evewak.abc	Prosco
Bonhomme 7h	EXt&eacute;rio	data/extbon.abc	Shorai
Family Guy Theme	Family Guy	data/family.abc	Snosh
Praise You	Fatboy Slim	data/fatpra.abc	Genwen
Figaro Castle	Final Fantasy III	data/ff3fig.abc	Ducksey
Final Theme	Final Fantasy III	data/ff3fin.abc	Ducksey
Gogo	Final Fantasy III	data/ff3gog.abc	Ducksey
Terra's Theme	Final Fantasy III	data/ff3terra.abc	Pinion/Peridoc
The Decisive Battle	Final Fantasy III	data/ff3dec.abc	Ducksey
Towns	Final Fantasy III	data/ff3tow.abc	Ducksey
World	Final Fantasy III	data/ff3world.abc	Ducksey
Melodies of Life	Final Fantasy IX	data/ff9mel.abc	LD
Celes Opera	Final Fantasy VI	data/ff6cel.abc	Snosh
Cyan	Final Fantasy VI	data/ff6cya.abc	Snosh
Attack On Dollet	Final Fantasy VIII	data/ff8att.abc	Ducksey
Breezy	Final Fantasy VIII	data/ff8bre.abc	Aellwen
Fisherman's Horizon	Final Fantasy VIII	data/ff8fis.abc	Snosh
Eyes on Me	Final Fantasy VIII (Faye Wong)	data/ff8eye.abc	Ducksey
To Zanarkand	Final Fantasy X	data/ffxzan.abc	Ducksey
Rhiannon	Fleetwood Mac	data/flerhi.abc	Killomend
The Flintstones Theme	Flintstones, The	data/flintsto.abc	Genwen
Everlong	Foo Fighters	data/fooeve.abc	raziell/jeffwise
Lemon Tree	Fools Garden	data/foolem.abc	Thorsongori
Forest Gump Theme	Forest Gump	data/gump.abc	Cyrano
December 1963 (Oh, What a Night)	Four Seasons, The	data/foudec.abc	Prosco
Fraggle Rock Theme	Fraggle Rock	data/fraggle.abc	Wraithsong
Mysterious Barricades	Francois Couperin	data/framys.abc	Hyacinth
Strangers in the Night	Frank Sinatra	data/frastr.abc	Dalthyn
Funeral March	Fr&eacute;d&eacute;ric Chopin	data/funeral.abc	Celestial
Shimmer	Fuel	data/fueshi.abc	Ghingeriel
Friends in Low Places	Garth Brooks	data/garfri.abc	Bungee
If Tomorrow Never Comes	Garth Brooks	data/garift.abc	Bungee
Make You Feel My Love	Garth Brooks	data/garmak.abc	Bungee
Madworld	Gary Jules	data/garmad.abc	Bungee
Mad World	Gears of War Theme	data/gearsof.abc	Cervantes
Harmonious Blacksmith	George Frideric Handel	data/geohar.abc	Rhysling
Rhapsody in Blue	George Gershwin	data/georha.abc	Celestial
Faith	George Michael	data/geofai.abc	Ducksey
Baker Street	Gerry Rafferty	data/gerbak.abc	Celestial
Enter the Oliphants	Ghingeriel	data/oliphant.abc	Ghingeriel
Slow Horse to Esteldin	Ghingeriel	data/slowho.abc	Ghingeriel
Ghostbusters	Ghostbusters	data/ghostsolo.abc	Cervantes
Conga	Gloria Estefan	data/glocon.abc	Ratissia
Crazy	Gnarls Barkley	data/gnacra.abc	Cyrano
The Godfather Theme (Simple)	Godfather, The	data/godfathe.abc	Jazriel
The Godfather Waltz	Godfather, The	data/godwaltz.abc	Jazriel
Dead and Broken	Godsmack	data/goddea.abc	Illyrean
Voodoo	Godsmack	data/godvoo.abc	Illyrean
Iris	Goo Goo Dolls	data/gooiris.abc	Unknown
Iris	Goo Goo Dolls	data/gooiri.abc	Ducksey
Name	Goo Goo Dolls	data/goonam.abc	Cervantes
Grandstand Theme	Grandstand	data/grand.abc	Syn
Casey Jones	Grateful Dead	data/grecas.abc	Savomur
Fire On The Mountain	Grateful Dead	data/grefir.abc	Ducksey
Franklins Tower	Grateful Dead	data/grefra.abc	Ducksey
Friend of the Devil	Grateful Dead	data/grefri.abc	Wraithsong
Ramble on Rose	Grateful Dead	data/greram.abc	Ducksey
Uncle John's Band	Grateful Dead	data/graunc.abc	Keptwise
Brain Stew	Green Day	data/grebra.abc	Ducksey
Good Riddance	Green Day	data/gregoo.abc	Unknown
When September Ends	Green Day	data/grewhe.abc	Bungee
No Sugar Tonight	Guess Who, The	data/guenos.abc	Tirithannon
Live and Let Die	Guns 'n' Roses	data/gnrliv.abc	Bungee
November Rain	Guns 'n' Roses	data/gnrnov.abc	Snosh
Sweet Child of Mine	Guns 'n' Roses	data/gnrswe.abc	Cervantes
Welcome to the Jungle	Guns 'n' Roses	data/gnrwel.abc	Ratissia
The Sweet Escape	Gwen Stefani	data/gweswe.abc	Thorsongori
What Is Love?	Haddaway	data/hadwha.abc	Cranberry
Halloween Theme	Halloween	data/hallow.abc	Ratissia
Halloween Theme (extended)	Halloween	data/hallowe.abc	Ducksey
Hallelujah Chorus	Handel, George Frederic	data/hanhal.abc	Tiamo/Skjald
Xerxes Largo	Handel, George Frederic	data/hanxer.abc	Tiamo/Skjald
Axel F	Harold Faltermeyer	data/haraxe.abc	Tiamo/Skjald
Harry Potter Theme	Harry Potter	data/harryp.abc	Devire
Alone	Heart	data/heaalo.abc	Ratissia
Power of Love	Huey Lewis	data/huepow.abc	Snosh
Acoustic Medley	In Flames	data/infaco.abc	Ducksey
The Jester's Dance	In Flames 	data/infjes.abc	Thelodin
Indiana Jones Theme	Indiana Jones	data/indiana.abc	Giddily
Bad Boys (Cops theme)	Inner Circle	data/cops.abc	Cervantes
Inspector Gadget Theme	Inspector Gadget	data/inspect.abc	Syn
In A Goda Da Vida	Iron Butterfly	data/iroina.abc	Trumpetvine
Fear of the Dark	Iron Maiden	data/irofea.abc	Cytheria
The Number of the Beast	Iron Maiden	data/irobea.abc	Ducksey
